GeneID,CH323,CH572,CH300,CH269,CH290,CH150,CH704,CH188B,CH274,CH198,CH315,CH235,CH339,CH308,CH172A,CH188A,CH328,CH727,CH295,CH288,CH722,CH172B
ENST00000240423.NCAPH.110,0.0197422,3.74E-07,0.000112999,0.0711035,0,1.23E-07,0,0,65.7666,0.0600897,0,96.3576,74.9608,90.9727,0,0.00623852,105.922,0.0170982,1.82E-07,89.0917,0,0.0020836
ENST00000206262.RGS17.1,3,6,4,6,4,2,8,11,8,9,4,0,0,2,9,35,1,1,5,13,10,3
ENST00000619577.MLF1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENST00000330942.UBE2G2.36,0,0,0,0,0,0,0,0,0,0,0,7.16842,0,0,0,0,0,0,7.4901,0,0,0
ENST00000263187.MSH4.5,32,10,54,18,49,26,57,20,35,32,11,12,13,67,67,41,30,41,30,25,64,18
ENST00000317235.MPPE1.52,0,0,0,0,6.86651,0,0,0,0,0,0,0,1.46E-05,0,0,0,0,0,0,0,0,0
ENST00000554345.AP4S1.34,2.41275,2.41137,0,0,2.94503,0,1.18605,3.92567,1.44607,1.08467,1.33956,0,0,0,0.762958,1.389,0,0,5.72937,0,0,0
ENST00000261167.WBP11.7,393,537,251,371,587,300,795,688,330,503,164,153,145,259,975,926,184,874,539,632,922,240
ENST00000458722.TBXAS1.25,2.56172,2.45129,5.03493,17.0487,5.79324,0,8.08532,7.71005,0,18.7221,0,0,0,0,12.0042,8.94449,0,0,0,0,14.9014,0
ENST00000423855.RNPC3.33,110.5,180,44.5,122.5,143,61,224,297,146.5,139.5,60.5,24.5,38,58,229.5,375.5,54,193,144,168.5,241.5,57.5
ENST00000357388.SMC4.19,1296.53,1404.56,900.598,758,1517.91,708.528,2084.32,3032.76,1464.58,1551.25,502.976,561.781,640.244,853.741,2609.95,3770.56,818.394,1981.94,1507.26,1823.87,2083.65,642.827
ENST00000373736.NKAIN1.5,2,10,1,1,10,1,3,5,5,1,4,4,0,8,7,6,3,1,2,2,6,0
ENST00000320330.PAGR1.191,35,60,21,40,63,29,89,57,34,52,19,9,11,16,104,97,20,72,64,67,83,20
ENST00000369014.ENSA.33,14.3243,45.5391,51.7125,16.4779,38.7691,49.7978,44.5275,52.9533,23.1945,24.4473,21.7356,35.955,31.6872,35.3193,117.146,81.6033,51.0083,12.6202,33.6108,24.5825,65.6449,29.3138
ENST00000370033.ARMH3.17,80,136,57,89,154,60,224,168,136,134,50,16,13,69,215,271,44,189,165,153,225,62
ENST00000262932.CNPY4.94,18,13,14,17,34,13,35,24,17,28,7,4,4,7,35,55,5,29,28,30,44,12
ENST00000361619.GTPBP3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000416793.AOC1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000317716.CDHR3.59,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000621663.ANAPC16.26,121,242,79,101,171,177,160,140,73,189,116,96,133,191,435,248,108,194,215,165,290,86
ENST00000435154.NAPRT.16,6.43226,23.0552,6.09055,13.6854,52.8453,12.4488,51.6133,14.0265,8.47272,23.5144,4.16961,15.088,10,9.37351,68.6936,38.664,10.9878,35.395,28.9588,35.5033,39.845,3.57193
ENST00000414222.HHLA1.16,0,3.76E-05,0,0.000242343,4.73E-05,2.92E-05,4,0,0.000108311,3,0.000123489,0,0,0,0,6.11E-05,0,1.22E-05,2.85E-05,0,6.82E-06,7.32E-05
ENST00000368358.HCN3.33,6.06059,9,1,6,12,7,17,6,1,12,4,2,2.01499,4,33,12,7,14,5,13,11,4
ENST00000368232.GPATCH4.33,46,54,14,37,62,24,123,44,42,60,21,0,8,28,129,100,11,59,76,69,89,31
ENST00000299191.C16orf78.23,0,0,0,0,0,0,0,1,2,0,0,1,0,0,4,0,0,0,0,0,0,0
ENST00000358139.PDE1A.2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000332145.ODF3L1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000413464.PPRC1.17,45.2611,41.0417,13.3894,39.3063,20.8538,0,47.9449,26.6603,45.415,0,19.221,0,0,17.7313,94.0166,120.551,0,40.9608,48.7957,47.773,19.4356,0
ENST00000374408.FAM83C.30,1,11,4,5,2,2,15,2,4,7,1,0,0,1,8,13,0,4,4,11,11,1
ENST00000219334.SMPD3.23,0,18,8.5,5,9.5,3,0,18,3.5,11.5,7.5,2.5,0,5.5,19.5,23.5,8,14,0,11,10,0
ENST00000652245.EGF.13,21.2527,0,31.5838,16.9071,0,0,7.62561,0,0,0,0,0,0,0,41.9323,0,0,0,6.73907,0,0,16.0341
ENST00000266085.TIMP3.44,371,286,428,474,107,273,729,141,107,297,136,72,122,107,1579,253,110,126,353,350,229,298
ENST00000539097.HIF1A.9,166.161,139.26,455.708,357.416,169.072,174.523,746.464,180.602,218.817,165.463,195.163,6.54991,41.2159,90.2586,374.128,371.572,220.448,248.698,385.227,242.126,485.78,145.959
ENST00000599207.PINLYP.43,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ENST00000622020.NPHP4.5,0,0,0.121012,5.62037,0,0.000325413,19.3924,7.18002,17.2681,17.0157,6.16743,1.76224,6.47E-05,14.5636,34.2163,0.163598,3.64232,10.8437,12.5699,12.9672,20.6896,5.40667
ENST00000370871.CRYZ.5,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,5.25119,0,0
ENST00000643088.TSC2.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000326434.CRELD1.20,0,0,4.08254,0,0,0,0,1.04909,6.39708,0,4.87833,6,0,0,0,16.0336,0,0,0,16.5254,2.05615,0
ENST00000504156.HARS1.15,26.4882,28.424,0,8.5928,25.6243,8.83612,31.8519,28.939,19.4278,7.79918,1.31016,0,0,7.46808,62.0178,44.1878,0,43.6811,50.6429,56.2204,34.4467,13.4469
ENST00000388822.METTL14.22,99,110,57,109,190,50,255,239,110,111,48,23,20,50,316,303,39,196,161,176,224,42
ENST00000370655.ANKRD2.17,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000679957.AGT.45,0,0,0,0,0.999874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000325110.HMGCS1.3,74,96,67,42,95,76,176,144,102,97,31,10,28,64,197,261,30,137,75,137,187,49
ENST00000678062.G3BP2.13,17.2909,15.5606,1.52E-06,6.82682,33.0829,4.60444,24.617,51.2441,0,23.5284,6.64698,1.51E-07,8.02775,25.9209,46.6916,78.6422,0,6.31227,2.52921,20.2771,15.509,2.58E-06
ENST00000525493.DKK3.11,0,0,0,0,6,0,9.80882,0,0,0,0,0,0,6.14101,2.82624,0,0,0,0,0,8.93741,0
ENST00000394204.GRB7.32,9.14983,2.76888,0,0.000252836,12.0944,6.0402,14.3826,0,3.92154,0,0,0,4.29045,4.31235,3.21242,7.5649,6.48507,25.5462,16.3236,5.32774,20.1074,13.0283
ENST00000522944.PBK.104,0,0,0,0,0,5.78603,0,0,0,0,0,0,16.8353,0,4.37009,13.1249,5.57112,0,3.96468,0,0,0
ENST00000602583.C16orf74.23,0,0.39887,0,0,0,0,0,0,15.7942,0,0,3,0,0,0,0,0,0,0,0,0,0
ENST00000652585.SNX25.48,108.258,229.814,31.9284,175,312.39,121.167,402.77,139.883,140.351,236.168,146.245,50.9532,19.0941,76.2817,385.278,271.49,69,268.038,329,305.729,191.189,101.99
ENST00000667261.TSEN34.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000531058.HTATIP2.11,29.4119,40.9283,29.6634,30.1485,15.0385,5.90531,37.208,93.0318,36.8814,15.253,38.0444,20.1587,20.8693,51.6247,67.0081,121.818,45.2651,24.1213,51.6634,19.2531,0,16.7269
ENST00000643305.SLC1A2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000531885.CMTM1.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000392006.HNRNPUL1.43,1201.29,1897.36,1049.74,872.097,1613.27,1046.97,2148.82,1909.65,542.666,1541.26,411.632,1309.48,723.122,878.729,4038.32,2234.66,1330.5,2103.79,1630.27,1877.01,2286.62,715.249
ENST00000415486.RAI2.4,0,8,0,3,4,0.00048836,9.59979,4,2,0,4,3,12,5,0,0,24,0,0,5,6.65844,0.654466
ENST00000361499.FAM135A.1,0,0,0,1.34E-06,0,0,0,8.53352,0,4.86456,0,0,0,0,10.0044,0,0,0,0,0,0,0
ENST00000378932.TAB3.4,64.5089,75.8052,67.9175,30.6033,12.1905,53.042,12.2132,33.135,28.0292,33.6127,0,29.8607,23.1638,22.1326,52.5689,8.89901,27.6672,44.0315,21.3379,21.238,35.0489,9.61442
ENST00000370232.TREX2.4,4,10,4,0,13,1,21,9,7,12,6,0,1,4,23,7,0,10,10,12,11,8
ENST00000347703.CDCA7.2,7.34548,0,0,7,21.3007,9,24,19,5.81043,7.40022,7.3132,0,0,7,28.65,45,6,28.5351,13.9999,12,10.218,9.58876
ENST00000295131.ZSWIM2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENST00000449590.PTH1R.20,21,20,2,20,47,13,34,24,6,22,13,8,4,8,49,60,1,28,32,27,54,10
ENST00000355697.SFXN4.17,37,42,21,17,83,19,74,81,46,54,23,5,8,16,73,113,12,58,67,60,66,18
ENST00000407583.GPN1.6,27.199,21.7881,11.7979,27.6808,28.5827,6.45489,24.8738,54.9234,4.66751,18.5848,0,4.95E-07,0,0,0,75.3669,0,0,16.3169,21.0396,11.916,0
ENST00000339490.PHKA1.73,81.5929,150.665,13.2788,87.7094,89.5924,42.9505,174.304,145.972,44.5554,115.168,39.0474,0.00962504,23.7512,60.8675,222.159,235.879,77.6886,224.277,94.9361,93.2132,106.383,70.1726
ENST00000417133.ERG.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000613856.SLIRP.9,0,0,0,0,0,0,2.69493,7.70416,5.30742,0,1.91874,0,0,0,4.83396,0,0,3.46512,3.73816,0,0,0
ENST00000643187.PIK3CA.19,3.04E-06,3.99907,196.582,102.517,20.88,51.6325,0,3.39E-06,0,0.00022376,16.1484,46.1565,0.000463972,45.5891,18.426,6.37E-05,154.095,115.516,0,0.0752608,1.80E-05,35.1787
ENST00000403796.SLC37A2.53,41.9999,43.9999,6,26.9998,0,0,0.00262057,29.9999,35.9999,24,18.9999,8.99998,0.999999,9.99994,34.7577,83.9999,12,32,28,1.98E-05,0.000185468,28.9999
ENST00000609116.PTBP2.33,21.0575,2.2837,17.4362,1.88351,2.14E-07,19.8702,6.65004,3.24E-08,8.77138,18.6288,3.80668,21.5697,13.803,16.0395,48.7021,32.4234,10.6626,24.3962,19.8501,15.3313,2.67E-05,0
ENST00000354608.PTGER3.5,0,0,0,0,0,0,3.95783,0,0,0,0,0,0,2.32965,0,3.6398,0,0,0,0,0,0
ENST00000262456.INVS.8,31.0326,25.9939,44.0681,9.82987,24.3428,28.6117,0,62.3272,29.5183,10.3536,21.6134,3.19E-05,18.8023,15.1468,136.263,82.1191,28.5502,39.8333,34.8985,0,25.662,1.33983
